sbid,pattern
8906,../msdata/altered/8906/SMC1-0_M344-11{0}/scienceData_SB8906_SMC1-0_M344-11{0}.beam{1}_SL.ms
8957,../8957-ms-casda/scienceData_SB8957_SMC1-1_M344-06{0}.beam{1}_SL.ms
